Year,race,Adams,Alexander,Bond,Boone,Brown,Bureau,Calhoun,Carroll,Cass,Champaign,Christian,Clark,Clay,Clinton,Coles,Crawford,Cumberland,Dekalb,Dewitt,Douglas,Dupage,Edgar,Edwards,Effingham,Fayette,Ford,Franklin,Fulton,Gallatin,Greene,Grundy,Hamilton,Hancock,Hardin,Henderson,Henry,Iroquois,Jackson,Jasper,Jefferson,Jersey,Jo daviess,Johnson,Kane,Kankakee,Kendall,Knox,Lake,Lasalle,Lawrence,Lee,Livingston,Logan,Macon,Macoupin,Madison,Marion,Marshall,Mason,Massac,Mcdonough,Mchenry,Mclean,Menard,Mercer,Monroe,Montgomery,Morgan,Moultrie,Non county agencies,Ogle,Peoria,Perry,Piatt,Pike,Pope,Pulaski,Putnam,Randolph,Richland,Rock island,Saline,Sangamon,Schuyler,Scott,Shelby,St. clair,Stark,Stephenson,Tazewell,Union,Vermilion,Wabash,Warren,Washington,Wayne,White,Whiteside,Will,Williamson,Winnebago,Woodford,Cook
2001,Black,226,147,25,18,18,48,6,12,0,2059,16,6,0,22,130,6,0,342,11,18,2265,0,0,108,6,0,6,25,0,0,52,0,0,0,6,92,250,580,0,246,6,16,16,2804,1669,122,314,5712,184,6,86,180,71,1104,34,1567,146,6,0,91,105,213,905,0,6,20,38,287,6,0,57,3403,60,0,13,0,153,0,81,6,1215,104,2200,6,0,0,2462,0,355,168,17,876,6,46,25,6,16,128,3000,75,2509,42,113082
2001,Asian,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,15,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,135,0,0,0,0,0,0,0,12,0,0,0,0,6,6,16,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,17,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,14,0,28,0,1182
2001,Hispanic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2001,Native American,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,10,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,176
2001,White,939,52,209,674,107,509,139,298,88,2334,335,264,117,229,1635,470,164,1740,539,181,13019,301,41,986,382,217,724,926,19,57,1014,78,206,75,134,569,585,857,87,607,575,532,198,9634,1607,1465,1160,15136,2689,412,845,1146,586,1388,523,4359,571,263,274,455,1007,3879,2285,92,410,572,749,1053,149,0,1009,3120,430,211,368,45,248,151,460,323,3117,711,3635,274,22,486,1601,59,644,1804,327,1743,324,444,265,245,668,1304,4144,631,4253,462,73789
2002,Black,185,250,25,41,24,49,0,6,6,2053,10,0,0,31,158,14,6,320,24,0,2297,0,0,128,0,0,6,28,0,0,49,0,6,0,6,81,267,677,0,214,16,20,14,2793,2070,150,328,6035,227,17,72,176,80,1204,73,1456,163,6,0,109,122,233,956,0,13,22,42,362,6,17,77,4480,84,12,17,0,183,0,65,11,1434,126,2447,0,0,6,2651,0,495,140,6,735,6,35,10,6,21,146,3116,121,2630,79,109762
2002,Asian,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,6,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,85,0,0,0,122,6,0,0,0,0,0,0,18,0,0,0,0,0,6,17,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,11,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,24,0,38,0,1285
2002,Hispanic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2002,Native American,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,17,0,176
2002,White,1045,86,231,630,149,557,138,317,151,2429,591,320,118,297,1385,421,212,1822,493,179,13333,285,68,1100,373,189,741,837,6,83,1086,53,243,56,141,640,760,1168,114,635,619,510,174,9581,2238,1527,1105,15520,2610,430,777,1077,854,1427,738,4445,595,258,360,539,1062,4353,2517,186,423,712,876,1206,143,13,1259,3874,660,220,433,17,263,109,444,317,3441,801,4072,166,31,466,2123,58,625,2011,265,1438,388,326,236,245,768,1453,4802,821,4579,659,75801
